Basin,CycloneNum,DateTime,Status,ForecastHour,Latitude,Longitude,MaxWind_kt,MinPressure_mb,StormType,RadIndicator,Rad34_NE,Rad34_SE,Rad34_SW,Rad34_NW,Rad50_NE,Rad50_SE,Rad50_SW,Rad50_NW,Rad64_NE,Rad64_SE,Rad64_SW,Rad64_NW,Roci_nm,Rmax_nm,EyeDia_nm,Subregion,MaxGust_kt,EyeScore,Subtropical,StormName,PostStormType,MaxWindRadius_nm,StormSpeed_kt,StormDirection_deg
AL,1,2010-06-24 18:00:00, BEST,0,15.9,-82.0,25,1007, LO,0,    ,0,0,0,0,1011,180.0,75.0,0.0,0.0,   L,0.0,0.0,0.0,     INVEST, S, ,,,,,,,
AL,1,2010-06-25 00:00:00, BEST,0,16.0,-82.1,25,1006, LO,0,    ,0,0,0,0,1011,180.0,75.0,0.0,0.0,   L,0.0,0.0,0.0,     INVEST, M, ,,,,,,,
AL,1,2010-06-25 06:00:00, BEST,0,16.1,-82.3,25,1006, LO,0,    ,0,0,0,0,1010,200.0,100.0,0.0,0.0,   L,0.0,0.0,0.0,     INVEST, M, ,,,,,,,
AL,1,2010-06-25 12:00:00, BEST,0,16.2,-82.5,30,1005, LO,0,    ,0,0,0,0,1010,200.0,100.0,40.0,0.0,   L,0.0,0.0,0.0,     INVEST, M, ,,,,,,,
AL,1,2010-06-25 18:00:00, BEST,0,16.4,-83.1,30,1005, TD,0,    ,0,0,0,0,1010,200.0,100.0,40.0,0.0,   L,0.0,0.0,0.0,     INVEST, M, ,,,,,,,
AL,1,2010-06-26 00:00:00, BEST,0,16.6,-83.9,30,1004, TD,0,    ,0,0,0,0,1008,170.0,100.0,40.0,0.0,   L,0.0,0.0,0.0,        ONE, M, ,,,,,,,
AL,1,2010-06-26 06:00:00, BEST,0,16.7,-84.9,40,1004, TS,34, NEQ,90,90,0,0,1011,200.0,90.0,45.0,0.0,   L,0.0,0.0,0.0,       ALEX, M, ,,,,,,,
AL,1,2010-06-26 12:00:00, BEST,0,16.9,-86.1,40,1004, TS,34, NEQ,90,90,0,0,1011,200.0,90.0,50.0,0.0,   L,0.0,0.0,0.0,       ALEX, M, 12, NEQ,90.0,90.0,0.0,0.0,,
AL,1,2010-06-26 18:00:00, BEST,0,17.2,-87.2,55,996, TS,34, NEQ,100,75,30,30,1011,200.0,20.0,55.0,0.0,   L,0.0,0.0,0.0,       ALEX, M, 12, NEQ,200.0,150.0,0.0,100.0,,
AL,1,2010-06-26 18:00:00, BEST,0,17.2,-87.2,55,996, TS,50, NEQ,0,0,20,0,1011,200.0,20.0,55.0,0.0,   L,0.0,0.0,0.0,       ALEX, M, 12, NEQ,200.0,150.0,0.0,100.0,,
AL,1,2010-06-27 00:00:00, BEST,0,17.5,-88.2,55,995, TS,34, NEQ,90,75,30,30,1008,205.0,15.0,60.0,0.0,   L,0.0,0.0,0.0,       ALEX, M, 12, NEQ,200.0,150.0,20.0,60.0,,
AL,1,2010-06-27 00:00:00, BEST,0,17.5,-88.2,55,995, TS,50, NEQ,0,15,15,0,1008,205.0,15.0,60.0,0.0,   L,0.0,0.0,0.0,       ALEX, M, 12, NEQ,200.0,150.0,20.0,60.0,,
AL,1,2010-06-27 06:00:00, BEST,0,18.0,-89.1,55,991, TS,34, NEQ,90,90,30,30,1008,275.0,60.0,45.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, ,,,,,,,
AL,1,2010-06-27 06:00:00, BEST,0,18.0,-89.1,55,991, TS,50, NEQ,0,15,15,0,1008,275.0,60.0,0.0,0.0, ,,,,,,,,,,,,,
AL,1,2010-06-27 12:00:00, BEST,0,18.5,-90.0,45,992, TS,34, NEQ,60,30,30,60,1008,180.0,60.0,40.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,120.0,120.0,0.0,0.0,,
AL,1,2010-06-27 18:00:00, BEST,0,18.9,-90.7,35,993, TS,34, NEQ,30,30,30,30,1007,240.0,75.0,40.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,240.0,0.0,0.0,0.0,,
AL,1,2010-06-28 00:00:00, BEST,0,19.2,-91.1,40,991, TS,34, NEQ,60,30,30,60,1004,200.0,20.0,50.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, ,,,,,,,
AL,1,2010-06-28 06:00:00, BEST,0,19.5,-91.4,40,991, TS,34, NEQ,60,30,30,60,1006,240.0,20.0,50.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,150.0,0.0,20.0,50.0,,
AL,1,2010-06-28 12:00:00, BEST,0,20.0,-91.6,50,989, TS,34, NEQ,60,30,30,60,1006,250.0,20.0,60.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,60.0,30.0,30.0,60.0,,
AL,1,2010-06-28 12:00:00, BEST,0,20.0,-91.6,50,989, TS,50, NEQ,25,0,0,0,1006,250.0,20.0,60.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,60.0,30.0,30.0,60.0,,
AL,1,2010-06-28 18:00:00, BEST,0,20.3,-91.7,50,990, TS,34, NEQ,60,30,30,60,1006,225.0,20.0,60.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,45.0,0.0,0.0,45.0,,
AL,1,2010-06-28 18:00:00, BEST,0,20.3,-91.7,50,990, TS,50, NEQ,25,0,0,0,1006,225.0,20.0,60.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,45.0,0.0,0.0,45.0,,
AL,1,2010-06-29 00:00:00, BEST,0,20.7,-91.7,55,987, TS,34, NEQ,60,60,30,60,1006,250.0,20.0,65.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,45.0,0.0,0.0,45.0,,
AL,1,2010-06-29 00:00:00, BEST,0,20.7,-91.7,55,987, TS,50, NEQ,25,0,0,0,1006,250.0,20.0,65.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,45.0,0.0,0.0,45.0,,
AL,1,2010-06-29 06:00:00, BEST,0,21.5,-91.9,55,985, TS,34, NEQ,90,90,30,60,1006,250.0,20.0,75.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,75.0,0.0,0.0,75.0,,
AL,1,2010-06-29 06:00:00, BEST,0,21.5,-91.9,55,985, TS,50, NEQ,45,20,15,20,1006,250.0,20.0,75.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,75.0,0.0,0.0,75.0,,
AL,1,2010-06-29 12:00:00, BEST,0,22.4,-92.7,60,983, TS,34, NEQ,120,100,50,100,1006,250.0,20.0,75.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,150.0,90.0,60.0,120.0,,
AL,1,2010-06-29 12:00:00, BEST,0,22.4,-92.7,60,983, TS,50, NEQ,60,30,15,20,1006,250.0,20.0,75.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,150.0,90.0,60.0,120.0,,
AL,1,2010-06-29 18:00:00, BEST,0,22.9,-93.6,60,981, TS,34, NEQ,150,100,50,100,1006,250.0,20.0,75.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,150.0,90.0,60.0,120.0,,
AL,1,2010-06-29 18:00:00, BEST,0,22.9,-93.6,60,981, TS,50, NEQ,60,30,15,20,1006,250.0,20.0,75.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,150.0,90.0,60.0,120.0,,
AL,1,2010-06-30 00:00:00, BEST,0,23.0,-94.4,65,973, HU,34, NEQ,150,150,75,130,1006,250.0,15.0,80.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,180.0,90.0,60.0,90.0,,
AL,1,2010-06-30 00:00:00, BEST,0,23.0,-94.4,65,973, HU,50, NEQ,80,80,30,40,1006,250.0,15.0,80.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,180.0,90.0,60.0,90.0,,
AL,1,2010-06-30 00:00:00, BEST,0,23.0,-94.4,65,973, HU,64, NEQ,15,15,15,15,1006,250.0,15.0,80.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,180.0,90.0,60.0,90.0,,
AL,1,2010-06-30 06:00:00, BEST,0,23.1,-94.8,70,966, HU,34, NEQ,180,150,90,130,1006,250.0,15.0,85.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,210.0,120.0,90.0,120.0,,
AL,1,2010-06-30 06:00:00, BEST,0,23.1,-94.8,70,966, HU,50, NEQ,80,80,30,40,1006,250.0,15.0,85.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,210.0,120.0,90.0,120.0,,
AL,1,2010-06-30 06:00:00, BEST,0,23.1,-94.8,70,966, HU,64, NEQ,20,20,15,15,1006,250.0,15.0,85.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,210.0,120.0,90.0,120.0,,
AL,1,2010-06-30 12:00:00, BEST,0,23.5,-95.2,75,958, HU,34, NEQ,180,150,100,130,1006,250.0,15.0,85.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,210.0,150.0,90.0,150.0,,
AL,1,2010-06-30 12:00:00, BEST,0,23.5,-95.2,75,958, HU,50, NEQ,80,80,30,40,1006,250.0,15.0,85.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,210.0,150.0,90.0,150.0,,
AL,1,2010-06-30 12:00:00, BEST,0,23.5,-95.2,75,958, HU,64, NEQ,50,20,15,15,1006,250.0,15.0,85.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,210.0,150.0,90.0,150.0,,
AL,1,2010-06-30 15:00:00, BEST,0,24.0,-95.5,75,958, HU,34, NEQ,180,150,100,130,850,0.0,0.0,0.0,0.0, ,,,,,,,,,,,,,
AL,1,2010-06-30 15:00:00, BEST,0,24.0,-95.5,75,958, HU,50, NEQ,80,80,30,40,850,0.0,0.0,0.0,0.0, ,,,,,,,,,,,,,
AL,1,2010-06-30 15:00:00, BEST,0,24.0,-95.5,75,958, HU,64, NEQ,50,20,15,15,850,0.0,0.0,0.0,0.0, ,,,,,,,,,,,,,
AL,1,2010-06-30 18:00:00, BEST,0,24.3,-96.2,80,962, HU,34, NEQ,180,180,120,130,1006,250.0,15.0,90.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,300.0,180.0,120.0,240.0,,
AL,1,2010-06-30 18:00:00, BEST,0,24.3,-96.2,80,962, HU,50, NEQ,90,80,60,40,1006,250.0,15.0,90.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,300.0,180.0,120.0,240.0,,
AL,1,2010-06-30 18:00:00, BEST,0,24.3,-96.2,80,962, HU,64, NEQ,50,30,15,15,1006,250.0,15.0,90.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, 12, NEQ,300.0,180.0,120.0,240.0,,
AL,1,2010-07-01 00:00:00, BEST,0,24.3,-97.3,90,948, HU,34, NEQ,180,180,120,120,1006,250.0,10.0,105.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, ,,,,,,,
AL,1,2010-07-01 00:00:00, BEST,0,24.3,-97.3,90,948, HU,50, NEQ,90,90,60,50,1006,250.0,10.0,105.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, ,,,,,,,
AL,1,2010-07-01 00:00:00, BEST,0,24.3,-97.3,90,948, HU,64, NEQ,50,30,15,15,1006,250.0,10.0,105.0,0.0,   L,0.0,0.0,0.0,       ALEX, D, ,,,,,,,
AL,1,2010-07-01 02:00:00, BEST,0,24.2,-97.7,95,946, HU,34, NEQ,180,180,120,120,850,0.0,0.0,0.0,0.0, ,,,,,,,,,,,,,
